title_new;title
Neural Networks for Efficient Bayesian Decoding of Natural Images from Retinal Neurons;Deep Networks for Decoding Natural Images from Retinal Signals
Unified representation of tractography and diffusion-weighted MRI data using sparse multidimensional arrays;Tensor encoding and decomposition of brain connectomes with application to tractography evaluation
Streaming Robust Submodular Maximization: A Partitioned Thresholding Approach;Streaming Robust Submodular Maximization:A Partitioned Thresholding Approach
ADMM without a Fixed Penalty Parameter: Faster Convergence with New Adaptive Penalization;No More Fixed Penalty  Parameter in ADMM: Faster Convergence with New Adaptive Penalization
Experimental Design for Learning Causal Graphs with Latent Variables;Learning Causal Graphs with Latent Variables
Causal Effect Inference with Deep Latent-Variable Models;Causal Effect Inference with Deep Latent Variable Models
Conic Scan-and-Cover algorithms for nonparametric topic modeling;Conic Scan Coverage algorithm for nonparametric topic modeling
Counterfactual Gaussian Processes for Reliable Decision-making and What-if Reasoning;What-If Reasoning using Counterfactual Gaussian Processes
Dynamic-Depth Context Tree Weighting;Utile Context Tree Weighting
Countering Feedback Delays in Multi-Agent Learning;Delayed Mirror Descent in Continuous Games
A Sharp Error Analysis for the Fused Lasso, with Application to Approximate Changepoint Screening;A Sharp Error Analysis for the Fused Lasso, with Implications to Broader Settings  and Approximate Screening
Convergence of Gradient EM on Multi-component Mixture of Gaussians;Statistical Convergence Analysis of Gradient EM on General Gaussian Mixture Models
Multi-View Decision Processes: The Helper-AI Problem;Multi-View Decision Processes
